n,select_examined,select_time_s,select_output,project_time_s
1000,1000,0.0005485000001499429,2,0.00028559999918797985
2000,2000,0.0010104999964823946,1,0.0007457999963662587
4000,4000,0.0019214999992982484,0,0.0019140999938827008
8000,8000,0.004241800001182128,0,0.003033499997400213
16000,16000,0.008954099997936282,0,0.007866799998737406
32000,32000,0.02086260000214679,1,0.018617899993842002
64000,64000,0.04299619999801507,1,0.04851039999630302
